Assigned to,id,name,address1,zip,country,latitude,longitude,phone,Yelp URL of Business,City Page,Notes,Yelp search URL
,32556,SEAL ROCK INN RESTAURANT,545 POINT LOBOS AVE,94121,US,37.779853,-122.509128,,seal-rock-inn-restaurant-san-francisco,,,
MNW,62732,MORNINGSTAR BOARDING CARE HOME,658 SHOTWELL ST,94110,US,37.75791,-122.415761,14155281368,UNMATCHED,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:62732,,"http://www.yelp.com/search?find_desc=MORNINGSTAR BOARDING CARE HOME#find_loc=658 SHOTWELL ST,sf"
,66793,CP - ROOM D14,CANDLESTICK PARK,94124,US,37.712613,-122.387477,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:66793,,"http://www.yelp.com/search?find_desc=CP - ROOM D14#find_loc=CANDLESTICK PARK,sf"
,68430,SAN FRANCISCO SOUP CO.,135 04TH ST FC-2,94103,US,37.784103,-122.403669,,san-francisco-soup-company-san-francisco-22,,,
,70499,THE AMERICAN GRILLED CHEESE KITCHEN,2400 HARRISON STREET,94110,US,37.758907,-122.412495,,the-american-grilled-cheese-kitchen-san-francisco-3,,,
LD,5285,NATAN'S CATERING,2344  AVE,94116,US,,,14155663643,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5285,,"http://www.yelp.com/search?find_desc=NATAN'S CATERING#find_loc=2344  AVE,sf"
MW,71398,PICA PICA MAIZE KITCHEN,3970 17TH ST,94113,US,,,14155510633,http://www.yelp.com/biz/pica-pica-maize-kitchen-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:71398,address is actually: 401 Valencia St,"http://www.yelp.com/search?find_desc=PICA PICA MAIZE KITCHEN#find_loc=3970 17TH ST,sf"
JE,5680,CP - SUTTER'S GRILL,CANDLESTICK PARK,94124,US,37.712613,-122.387477,14155468570,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5680,,"http://www.yelp.com/search?find_desc=CP - SUTTER'S GRILL#find_loc=CANDLESTICK PARK,sf"
luther,69125,MANNA CATERING,428 11 ST,94112,US,37.770579,-122.412212,14155811154,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:69125,,"http://www.yelp.com/search?find_desc=MANNA CATERING#find_loc=428 11 ST,sf"
,1526,CHOUQUET'S,2500 WASHINGTON ST,94115,US,37.791607,-122.434563,,chouquets-san-francisco,,,
kl,502,COURTYARD BY MARRIOTT-COFFEE SHOP,299 02ND ST,94105,US,37.785614,-122.396693,,courtyard-san-francisco-downtown-san-francisco,,in hotel category,
,70125,SODA POPINSKI'S,1548 CALIFORNIA ST,94109,US,,,,soda-popinski-san-francisco,,,
AG,5016,THE CRAB STATION OF FISHERMAN'S WHARF,FOOT OF TAYLOR ST #2,94133,US,37.795202,-122.413169,,http://www.yelp.com/biz/the-crab-station-at-fishermans-wharf-san-francisco#query:THE%20CRAB%20STATION%20OF%20FISHERMAN%27S%20WHARF,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5016,,"http://www.yelp.com/search?find_desc=THE CRAB STATION OF FISHERMAN'S WHARF#find_loc=FOOT OF TAYLOR ST #2,sf"
,15388,CALIFORNIA BAZAAR,900 NORTH POINT,,US,37.805558,-122.422061,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:15388,,"http://www.yelp.com/search?find_desc=CALIFORNIA BAZAAR#find_loc=900 NORTH POINT,sf"
,3319,HARRY DENTON'S ROUGE,1500 BROADWAY ST,94109,US,37.795991,-122.421817,14155547938,respect-at-harry-dentons-rouge-san-francisco,,,
,5864,VISITACION VALLEY MIDDLE SCHOOL,450 RAYMOND AVE,94134,US,37.714428,-122.411433,,visitacion-valley-middle-school-san-francisco,,,
,25164,WESTIN ST FRANCIS - MICHAEL MINA,335 POWELL ST 1ST FLOOR,94102,US,37.7877,-122.408345,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:25164,,"http://www.yelp.com/search?find_desc=WESTIN ST FRANCIS - MICHAEL MINA#find_loc=335 POWELL ST 1ST FLOOR,sf"
LD,34749,CHATZ COFFEE,215 02ND ST,94105,US,37.786529,-122.397827,14155420827,http://www.yelp.com/biz/chatz-roasting-company-san-francisco-2,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:34749,,"http://www.yelp.com/search?find_desc=CHATZ COFFEE#find_loc=215 02ND ST,sf"
AG,5502,AT&T -26 SNOW CONES/COTTON CANDY [145113],24 WILLIE MAYS PLAZA,94107,US,,,14155971500,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5502,,"http://www.yelp.com/search?find_desc=AT&T -26 SNOW CONES/COTTON CANDY [145113]#find_loc=24 WILLIE MAYS PLAZA,sf"
LR,68721,RYAN SCOTT 2 GO LLC,300 DE HARO ST SUITE 340,94103,US,37.765718,-122.401685,,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:68721,,"http://www.yelp.com/search?find_desc=RYAN SCOTT 2 GO LLC#find_loc=300 DE HARO ST SUITE 340,sf"
,60590,HAPPY GIRL KITCHEN CO,1 FERRY BUILDING,94111,US,,,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:60590,,"http://www.yelp.com/search?find_desc=HAPPY GIRL KITCHEN CO#find_loc=1 FERRY BUILDING,sf"
,69652,CHOLO SOY,2301 MISSION ST,94110,US,37.760181,-122.419143,14155414316,cholo-soy-san-francisco,,,
Partha,68151,"PRECIOUS BITES, LLC",1310 09TH AVE,94122,US,,,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:68151,,"http://www.yelp.com/search?find_desc=PRECIOUS BITES, LLC#find_loc=1310 09TH AVE,sf"
,3729,RUBY SKYE,420 MASON ST,94102,US,37.787497,-122.409887,,ruby-skye-san-francisco,,,
,67073,MAMA CASS,401 MISSION BAY BLVD SOUTH,,US,37.770649,-122.389346,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:67073,,"http://www.yelp.com/search?find_desc=MAMA CASS#find_loc=401 MISSION BAY BLVD SOUTH,sf"
JE,5725,CP - THE STADIUM CLUB,CANDLESTICK PARK,94124,US,,,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5725,,"http://www.yelp.com/search?find_desc=CP - THE STADIUM CLUB#find_loc=CANDLESTICK PARK,sf"
,17523,ST. REGIS HOTEL - MAIN KITCHEN + EMPLOYEE CAFETERIA,125 03RD ST 2/F,94103,US,37.786134,-122.401792,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:17523,,"http://www.yelp.com/search?find_desc=ST. REGIS HOTEL - MAIN KITCHEN + EMPLOYEE CAFETERIA#find_loc=125 03RD ST 2/F,sf"
LD,5239,SAN FRANCISCO LADIES PROTECTION & RELIEF SOCIETY,945 SACRAMENTO ST,94108,US,37.793049,-122.408422,,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5239,,"http://www.yelp.com/search?find_desc=SAN FRANCISCO LADIES PROTECTION & RELIEF SOCIETY#find_loc=945 SACRAMENTO ST,sf"
AG,65614,THE TACO GUYS INC.,OFF THE GRID,,US,0,0,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:65614,,"http://www.yelp.com/search?find_desc=THE TACO GUYS INC.#find_loc=OFF THE GRID,sf"
AG,65805,"VIET DUONG CO., LTD.",58 MAIN ST,,US,,,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:65805,,"http://www.yelp.com/search?find_desc=VIET DUONG CO., LTD.#find_loc=58 MAIN ST,sf"
LD,5337,DAN'S CATERING,989 GELLERT BLVD,94015,US,,,14150750286,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5337,,"http://www.yelp.com/search?find_desc=DAN'S CATERING#find_loc=989 GELLERT BLVD,sf"
MW,70494,THE LITTLE CHIHUAHUA MEXICAN RESTAURANT,581 VALENCIA ST,94110,US,37.763664,-122.421736,14155207111,http://www.yelp.com/biz/the-little-chihuahua-san-francisco-4,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:70494,,"http://www.yelp.com/search?find_desc=THE LITTLE CHIHUAHUA MEXICAN RESTAURANT#find_loc=581 VALENCIA ST,sf"
,60550,ANNIE'S HOT DOGS & PRETZELS," GOLDEN GATE PARK, JFK DR.@8TH AVE  ",,US,37.777122,-122.419639,,annies-hot-dogs-and-pretzels-san-francisco-6,,,
,37256,MISSION NOODLE HOUSE,4845 MISSION ST,94112,US,37.720853,-122.437649,,mission-noodle-house-san-francisco,,,
,59608,URBAN BREAD,270 NOE ST,94107,US,,,,urban-bread-san-francisco,,,
,69675,SPICE ACE,1821 STEINER ST,94115,US,37.78609,-122.435015,,spice-ace-san-francisco,,,
MW,70459,GARAJE,475 03RD ST,94107,US,37.781572,-122.396081,,http://www.yelp.com/biz/garaje-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:70459,,"http://www.yelp.com/search?find_desc=GARAJE#find_loc=475 03RD ST,sf"
kl,395,SF MARRIOTT HOTEL PANTRY 4/F,55 04TH ST,94103,US,37.784964,-122.404752,,-unmatched,,,
kl,1438,CABLE CAR COFFEE CO,1 HALLIDIE PLAZA,94102,US,37.783658,-122.408568,,-unmatched,,,
JN,67943,TEAVANA CORPORATION,865 MARKET ST #324,94103,US,37.784317,-122.407563,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:67943,,"http://www.yelp.com/search?find_desc=TEAVANA CORPORATION#find_loc=865 MARKET ST #324,sf"
,65432,HECHO,191 SUTTER ST,94104,US,37.789834,-122.403538,,hecho-san-francisco,,,
JE,5628,AT&T - DERBY GRILL- ROOM 5323/VIEW [145158],24  PL,94107,US,37.757923,-122.393914,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5628,,"http://www.yelp.com/search?find_desc=AT&T - DERBY GRILL- ROOM 5323/VIEW [145158]#find_loc=24  PL,sf"
,104,INO SUSHI,22 PEACE PLAZA  #510,94115,US,37.785018,-122.429587,14155923121,ino-sushi-san-francisco,,,
AG,66442,EAST & WEST GOURMET AFGHAN FOOD,2901 DIAMOND ST,94112,US,,,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:66442,,"http://www.yelp.com/search?find_desc=EAST & WEST GOURMET AFGHAN FOOD#find_loc=2901 DIAMOND ST,sf"
JE,5719,CP - ROOM E20,CANDLESTICK PARK  E20,94124,US,37.712613,-122.387477,14155468570,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5719,,"http://www.yelp.com/search?find_desc=CP - ROOM E20#find_loc=CANDLESTICK PARK  E20,sf"
AG,65803,"VIET DUONG CO., LTD.",ONE BUSH PLAZA,,US,,,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:65803,,"http://www.yelp.com/search?find_desc=VIET DUONG CO., LTD.#find_loc=ONE BUSH PLAZA,sf"
SM,12001,CAHEE'S CATERING,4801 03RD ST,,US,37.734734,-122.390599,,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:12001,,"http://www.yelp.com/search?find_desc=CAHEE'S CATERING#find_loc=4801 03RD ST,sf"
LR,68698,THE ARMORY CLUB,290 14TH ST,94103,US,37.773835,-122.411788,14155850771,http://www.yelp.com/biz/the-armory-club-san-francisco-2,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:68698,,"http://www.yelp.com/search?find_desc=THE ARMORY CLUB#find_loc=290 14TH ST,sf"
,65103,LITTLE WOK,2675 OCEAN AVE,94132,US,37.732104,-122.474241,,little-wok-san-francisco,,,
MW,70324,"EAT IT UP, BUTTER CUP!",HUNTERS POINT BLDG. 110 SHIPYARD,,US,,,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:70324,duplicate,"http://www.yelp.com/search?find_desc=EAT IT UP, BUTTER CUP!#find_loc=HUNTERS POINT BLDG. 110 SHIPYARD,sf"
,68891,LOCAL EDITION,691 MARKET ST,94103,US,,,,local-edition-san-francisco,,,
AG,65392,CANTATA COFFEE SHOP,1708 HAIGHT ST,94117,US,37.769616,-122.450366,,http://www.yelp.com/biz/cantata-coffee-company-san-francisco#query:CANTATA%20COFFEE%20SHOP,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:65392,,"http://www.yelp.com/search?find_desc=CANTATA COFFEE SHOP#find_loc=1708 HAIGHT ST,sf"
kl,1508,NONNA ROSE RESTAURANT,FOOT OF TAYLOR ST #7,94133,US,37.795202,-122.413169,,nonna-rose-seafood-trattoria-san-francisco,,,
,64194,"EBBETT'S GOOD TO GO, INC.",OFF THE GRID-CIVIC CENTER/CITY HALL,,US,0,0,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:64194,,"http://www.yelp.com/search?find_desc=EBBETT'S GOOD TO GO, INC.#find_loc=OFF THE GRID-CIVIC CENTER/CITY HALL,sf"
,4539,PEET'S COFFEE & TEA,054 WEST PORTAL AVE,94127,US,37.740283,-122.466459,14155730375,peets-coffee-and-tea-san-francisco-8,,,
SM,12285,ARAMARK COFFEE KIOSK,3555 CESAR CHAVEZ,,US,37.748118,-122.420474,,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:12285,,"http://www.yelp.com/search?find_desc=ARAMARK COFFEE KIOSK#find_loc=3555 CESAR CHAVEZ,sf"
AG,65181,MOLLIE STONE'S CASTRO MARKET,4201 18TH ST,94114,US,37.760773,-122.436389,,http://www.yelp.com/biz/mollie-stones-san-francisco-5,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:65181,,"http://www.yelp.com/search?find_desc=MOLLIE STONE'S CASTRO MARKET#find_loc=4201 18TH ST,sf"
LR,68769,MAITE CATERING & EVENTS,2948 FOLSON ST,94110,US,37.750134,-122.413935,,http://www.yelp.com/biz/maite-catering-and-events-san-francisco-2,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:68769,,"http://www.yelp.com/search?find_desc=MAITE CATERING & EVENTS#find_loc=2948 FOLSON ST,sf"
,59338,SOI GOW THAI NOODLE CAFÉ,1319 09TH AVE,94122,US,37.758941,-122.48591,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:59338,,"http://www.yelp.com/search?find_desc=SOI GOW THAI NOODLE CAFÉ#find_loc=1319 09TH AVE,sf"
,2934,LOU'S FISH SHACK,300 JEFFERSON ST,94133,US,,,,lous-fish-shack-san-francisco,,,
SM,10333,ROLI ROTI,1 UNITED NATIONS PLAZA,94102,US,37.780485,-122.413507,,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:10333,,"http://www.yelp.com/search?find_desc=ROLI ROTI#find_loc=1 UNITED NATIONS PLAZA,sf"
JN,81,CLUB ED/BON APPETIT,2350 TURK ST,94117,US,37.778468,-122.448484,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:81,,
MW,69813,THE MISSION OYSTER BAR SEAFOOD REST. & MKT.T,2282 MISSION ST,94110,US,,,14155217250,http://www.yelp.com/biz/mission-street-oyster-bar-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:69813,,"http://www.yelp.com/search?find_desc=THE MISSION OYSTER BAR SEAFOOD REST. & MKT.T#find_loc=2282 MISSION ST,sf"
luther,69281,FAIRMONT HOTEL SAN FRANCISCO - MAIN KITCHEN,950 MASON ST,94108,US,37.792314,-122.410821,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:69281,,"http://www.yelp.com/search?find_desc=FAIRMONT HOTEL SAN FRANCISCO - MAIN KITCHEN#find_loc=950 MASON ST,sf"
,7394,TORINO MARKET,4830 03RD ST,94124,US,37.734392,-122.390972,,torino-grocery-market-and-pizzeria-san-francisco,,,
,66580,AVEDANO'S MEATS,432 OCTAVIA,,US,37.775065,-122.424078,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:66580,,"http://www.yelp.com/search?find_desc=AVEDANO'S MEATS#find_loc=432 OCTAVIA,sf"
MNW,63303,MY FATHER'S KITCHEN LLC,1655 DIVISADERO ST,94115,US,37.785013,-122.439844,,UNMATCHED,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:63303,,"http://www.yelp.com/search?find_desc=MY FATHER'S KITCHEN LLC#find_loc=1655 DIVISADERO ST,sf"
,66488,LANG'S TEA COMPANY,429 STOCKTON ST,94108,US,37.790034,-122.407104,,unmached,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:66488,,"http://www.yelp.com/search?find_desc=LANG'S TEA COMPANY#find_loc=429 STOCKTON ST,sf"
,5886,REDDING ELEMENTARY SCHOOL,1421 PINE ST,94109,US,37.789753,-122.419277,,redding-elementary-school-san-francisco,,,
,59851,BLIMS,1000 CLEMENT ST,94118,US,37.782688,-122.469941,,blims-san-francisco,,,
,40213,ZINA'S,3RD AND CARGO WAY,,US,37.746439,-122.3873,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:40213,,"http://www.yelp.com/search?find_desc=ZINA'S#find_loc=3RD AND CARGO WAY,sf"
,69353,ARIA,932 LARKIN ST,94109,US,37.786565,-122.418116,,aria-korean-american-snack-bar-san-francisco,,,
KC,5544,AT&T - JUMA CART 1 - COFFEE,24 WILLIE MAYS PLAZA,94107,US,,,,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5544,,"http://www.yelp.com/search?find_desc=AT&T - JUMA CART 1 - COFFEE#find_loc=24 WILLIE MAYS PLAZA,sf"
SY,64539,BRASS KNUCKLE,OFF THE GRID,,US,37.777122,-122.419639,,http://www.yelp.com/biz/brass-knuckle-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:64539,,"http://www.yelp.com/search?find_desc=BRASS KNUCKLE#find_loc=OFF THE GRID,sf"
JN,68871,LA PASTRAMI,OFF THE GRID,,US,0,0,,http://www.yelp.com/biz/la-pastrami-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:68871,,"http://www.yelp.com/search?find_desc=LA PASTRAMI#find_loc=OFF THE GRID,sf"
LR,68739,STARBUCKS COFFEE,PIER 1 THE EMBARCADERO,94111,US,37.794551,-122.39319,,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:68739,,"http://www.yelp.com/search?find_desc=STARBUCKS COFFEE#find_loc=PIER 1 THE EMBARCADERO,sf"
luther,69433,SUSHI TOSUKI,380 BUSH ST #3,94104,US,37.790866,-122.403697,14155830696,http://www.yelp.com/biz/sushi-tosuki-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:69433,,"http://www.yelp.com/search?find_desc=SUSHI TOSUKI#find_loc=380 BUSH ST #3,sf"
AG,65025,T2J THAI RESTAURANT,2065 POLK ST,94109,US,37.795774,-122.421764,,http://www.yelp.com/biz/t2j-san-francisco#query:T2J%20THAI%20RESTAURANT,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:65025,,"http://www.yelp.com/search?find_desc=T2J THAI RESTAURANT#find_loc=2065 POLK ST,sf"
MW,69735,FIVETENBURGER #2,OFF THE GRID,,US,,,,http://www.yelp.com/biz/fivetenburger-oakland,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:69735,,"http://www.yelp.com/search?find_desc=FIVETENBURGER #2#find_loc=OFF THE GRID,sf"
Partha,67218,"WILLIAMS-SONOMA, INC.",100 NORTH POINT ST,94133,US,37.807127,-122.409464,,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:67218,,"http://www.yelp.com/search?find_desc=WILLIAMS-SONOMA, INC.#find_loc=100 NORTH POINT ST,sf"
,68944,PEET'S COFFEE AND TEA,1630 HOLLOWAY AVE,94132,US,37.720877,-122.477651,14155374525,peets-coffee-and-tea-san-francisco-69,,,
,57754,"GUCKENHEIMER ENTERPRISES, INC AT GOOGLE SF",345 SPEAR ST 3RD FLOOR,94105,US,37.789394,-122.390073,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:57754,,"http://www.yelp.com/search?find_desc=GUCKENHEIMER ENTERPRISES, INC AT GOOGLE SF#find_loc=345 SPEAR ST 3RD FLOOR,sf"
,66751,DELI 23,2449 23RD ST,94110,US,37.754388,-122.403983,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:66751,,"http://www.yelp.com/search?find_desc=DELI 23#find_loc=2449 23RD ST,sf"
,66492,PACIFIC PUFFS,OFF THE GRID,,US,37.777122,-122.419639,,http://www.yelp.com/biz/pacific-puffs-san-francisco-2,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:66492,,"http://www.yelp.com/search?find_desc=PACIFIC PUFFS#find_loc=OFF THE GRID,sf"
kl,1529,STARBUCKS COFFEE,490 BRANNAN ST,94107,US,37.778694,-122.396139,14155240256,starbucks-san-francisco-119,,,
SM,7814,WO SING INC.,2000 MCKINNON AVE BLDG.417#17B,94124,US,37.740179,-122.396761,,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:7814,,"http://www.yelp.com/search?find_desc=WO SING INC.#find_loc=2000 MCKINNON AVE BLDG.417#17B,sf"
JN,68909,CAFÉ LA FLORE,1340 IRVING ST,94122,US,37.763798,-122.472422,14155756525,http://www.yelp.com/biz/cafe-la-flore-san-francisco-2,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:68909,,"http://www.yelp.com/search?find_desc=CAFÉ LA FLORE#find_loc=1340 IRVING ST,sf"
,69722,CREPERIE SAINT GERMAIN,101 04TH ST #9120,94103,US,37.784548,-122.40419,,creperie-saint-germain-san-francisco-9,,,
LD,37166,LUCE RESTAURANT &  BAR,888 HOWARD ST 1ST FLOOR,94103,US,37.781664,-122.404778,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:37166,,"http://www.yelp.com/search?find_desc=LUCE RESTAURANT &  BAR#find_loc=888 HOWARD ST 1ST FLOOR,sf"
,5874,HARTE ELEMENTARY SCHOOL,1035 GILMAN AVE,94124,US,37.718746,-122.389105,14155331520,bret-harte-elementary-school-san-francisco,,,
JN,68058,"HOME MAID RAVIOLI CO., INC.",85 BARTLETT ST,94110,US,,,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:68058,,"http://www.yelp.com/search?find_desc=HOME MAID RAVIOLI CO., INC.#find_loc=85 BARTLETT ST,sf"
,3324,BUENA VISTA CAFE,2765 HYDE ST,94109,US,37.806493,-122.420554,,buena-vista-cafe-san-francisco,,,
KC,5528,AT&T - JUMA CART 1 - ICE CREAM,24 WILLIE MAYS PLAZA,94107,US,,,14155250502,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5528,,"http://www.yelp.com/search?find_desc=AT&T - JUMA CART 1 - ICE CREAM#find_loc=24 WILLIE MAYS PLAZA,sf"
,68425,828 ASIAN CAFÉ,1501 NORIEGA,94122,US,37.754035,-122.479716,,828-asian-cafe-san-francisco,,,
,63467,MISSION CREEK KITCHEN,2175 HARRISON ST,94110,US,37.762228,-122.412759,,mission-creek-kitchen-at-stable-cafe-san-francisco,,,
JE,5689,CP - ROOM 313 SPECIALTY STAND,CANDLESTICK PARK  313,94124,US,37.712613,-122.387477,14155468570,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5689,,"http://www.yelp.com/search?find_desc=CP - ROOM 313 SPECIALTY STAND#find_loc=CANDLESTICK PARK  313,sf"
,67418,MILAGROS DE MEXICO,2400 MISSION ST,94110,US,37.75858,-122.419104,,milagros-de-méxico-san-francisco-3,,,
kl,1815,SF MARRIOTT BANQUET KITCHEN,55 04TH ST,94103,US,37.784964,-122.404752,,4th-street-bar-and-grill-san-francisco,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:1815,is this the same as the one above...?,
,38111,THE RRAZZ ROOM,222 MASON ST 2ND FOOR,94102,US,37.785556,-122.409438,,the-rrazz-room-san-francisco,,,
